CookerStat, GenerateAssetRegistry=0.017405, Initialize=0.095744, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_BB8F8F954D8BECDFB__22C4865CFB40F9ED4178636E2B378D0D346093AA, StartTime=2016.04.07-23.41.43, HierarchicalDDC=, DataSize=977, Duration=2.935551, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_967562934F58E732A0036A89C5298__A6A0486F35ADE3BCFA33B7F3E9B2AF4F72879ECB, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=16647, Duration=3.548414, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_967562934F58E732A0036A89C5298__7F30EFD6A83B044AD51AE2512FB2C25EA024037A, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=7196, Duration=3.272701, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7B6E6DEF47C837FCBF026A82651DFB6F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=172.288208, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7B6E6DEF47C837FCBF026A82651DF__774F01894E629D55EFCCF0044F0BB8C7F5E7EDCF, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=1048841, Duration=4.963584, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7B6E6DEF47C837FCBF026A82651DF__9422C4EDFE837EE13E1F5C81C074BBECFE0E9AD4, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=262407, Duration=5.102847, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7B6E6DEF47C837FCBF026A82651DF__1EC3A64401007B47D98CF1B98E3E272A8912C7D5, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=65799, Duration=4.133631, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7B6E6DEF47C837FCBF026A82651DF__2C751ABEADD17C2F04BDE507328903654073FD66, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=16647, Duration=3.426049, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7B6E6DEF47C837FCBF026A82651DF__C99FD1C11E08B9B7B780C441B27576FEFB4CDCD2, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=7196, Duration=25.664505, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_46EE60D34C49E255E6F8338C0E105EDF_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=46.995441, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_46EE60D34C49E255E6F8338C0E105__F4F7763FE0D500794C9D3D32C355816570FE310D, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=1048841, Duration=5.302016, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_46EE60D34C49E255E6F8338C0E105__C9E188C7D20BA0F70FB0C8D8D6BF3798D4776894, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=262407, Duration=4.740097, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_46EE60D34C49E255E6F8338C0E105__6B0B6EF890EE0CA6FD80FC444FAFDEB327CAF074, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=65799, Duration=4.270848, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EC0408E9421E7B4F601411BAB78A51CB_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=4.222974, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_46EE60D34C49E255E6F8338C0E105__09F6F4337FA312370B835AC9243C11334A3F0727, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=16647, Duration=3.349759, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_46EE60D34C49E255E6F8338C0E105__7E9381EBC33231215E13872DCEAB21145E4AEB90, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=7196, Duration=3.390718, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EC0408E9421E7B4F601411BAB78A5__810350D23DB21478160046B1BBE338FBDA516DAB, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=65799, Duration=3.479805, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F621447F4EFC925575A2D59F31D07339_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=3.324673, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EC0408E9421E7B4F601411BAB78A5__0B3028FEB1B99F110A4CEA54968EFC0E40DC8049, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=16647, Duration=3.559422, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_EC0408E9421E7B4F601411BAB78A5__128DC0C9424BAFB844BC380369FA6F73892FC272, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=6604, Duration=3.706366, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F621447F4EFC925575A2D59F31D07__95864F9F9CDC01F38C2431231D4A4B83E9C92ED5, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=6014, Duration=3.127553, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_48AA15814A5E167A65291CB49EDD6102_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=86.541290, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_48AA15814A5E167A65291CB49EDD6102__BEA16FC9295413C6EC56FC2AFD8F944D4EAB5441, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=524550, Duration=4.550654, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_48AA15814A5E167A65291CB49EDD6102__1AA3F7A0E4A97BD75F8B52985409B7CC55C6EAFF, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=131332, Duration=4.496895, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_48AA15814A5E167A65291CB49EDD6102__62E3937390BFDD04E33A5286F8674756FBF8DCF6, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=33028, Duration=4.833020, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_48AA15814A5E167A65291CB49EDD6102__21F355B89D82E8986A3E1E9822D745304ABC38A3, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=8452, Duration=3.036927, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_48AA15814A5E167A65291CB49EDD6102__52F9D89BA4CAA9186E6221C3948D3A01AD5D2C32, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=4437, Duration=3.325697, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_EAA4FA6A4981EE17277A3CB594F8A62F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=80.468712, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_EAA4FA6A4981EE17277A3CB594F8A62F__EC268D2173BB87923D18193E667315A7785E87E0, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=524550, Duration=4.894719, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_EAA4FA6A4981EE17277A3CB594F8A62F__410206C05BC70ACD9E25302DA6829C42E2878068, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=131332, Duration=5.079042, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_EAA4FA6A4981EE17277A3CB594F8A62F__1ACF56A9B65929D9D1C306B142E1B5524E50277B, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=33028, Duration=4.072189, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_EAA4FA6A4981EE17277A3CB594F8A62F__1AF7FF3CEF9DAF4E6534C6E595C605CC892B0B94, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=8452, Duration=3.353600, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_EAA4FA6A4981EE17277A3CB594F8A62F__816A3624E8B6B7EF9AE93399EC10A132042CF8E6, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=4437, Duration=2.816513, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBD3F3E9411F51683AF2D4AC86521F1A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=83.584236, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBD3F3E9411F51683AF2D4AC86521F1A__32EA940E61641948542A5E75564F8CC9F4CD981A, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=524550, Duration=4.179451, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBD3F3E9411F51683AF2D4AC86521F1A__50528192AE0AD3F214A5D5EE8D73B098ECBEEC62, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=131332, Duration=4.016385, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBD3F3E9411F51683AF2D4AC86521F1A__5C2CD53D13609320C737D7B50F19945DD4418353, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=33028, Duration=3.803138, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBD3F3E9411F51683AF2D4AC86521F1A__516275A971EB6FE4DE897ED35986EA55A5DB986B, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=8452, Duration=3.599871, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_DBD3F3E9411F51683AF2D4AC86521F1A__A6C3C5006CA281B737FE2436A1D9B753852B955B, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=4437, Duration=3.254525, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_9, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_17D593DC4BC574EA31D78EBB114671CD_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=29.851128, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_17D593DC4BC574EA31D78EBB114671CD__E1FE3039B19F5F30E00FB3AB9F331CFDC5917174, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=524550, Duration=20.768761, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_17D593DC4BC574EA31D78EBB114671CD__AF132959AAD48C79AE9A7219008F17A23236C560, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=131332, Duration=17.845243, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_17D593DC4BC574EA31D78EBB114671CD__0DF99C694A57A56D046F23D1857FCBB470CF665E, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=33028, Duration=4.158717, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_10, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_205485D542ACA02A1338BCA6A28AC8D5_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=2.115842, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_11, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_4973AE02410F17E9D55CB6994CC9865B_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=1.921281, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_17D593DC4BC574EA31D78EBB114671CD__F9E17281150722D947A19F6C9E422597D42D9F5D, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=8452, Duration=19.374332, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_12, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_01EAB94C456F4098209B4F9C04601A70_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=9.882112, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_17D593DC4BC574EA31D78EBB114671CD__F44AB7C0E57B51C3F523C06E92B864552A608DFE, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=4437, Duration=3.967486, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_205485D542ACA02A1338BCA6A28AC8D5__C60D674C0263379C113DD779600E00EC47774103, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=33028, Duration=3.713280, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_205485D542ACA02A1338BCA6A28AC8D5__1B30EB4DDB6C2FF7B2FDCAF7E55D9F8CCE1A6C8C, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=8452, Duration=3.923967, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_205485D542ACA02A1338BCA6A28AC8D5__0F96101729A34E5507CA2E180FBF467B11FEC3E2, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=3851, Duration=3.180541, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_13, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_8C98590E47AA79BE06FB61BBDDD8DD20_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=0.141054, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_4973AE02410F17E9D55CB6994CC9865B__45B829EF79911466AD8E1FD49A96EC0C0E1765EC, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=3267, Duration=8.398335, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
